File,Original Size,Optimized Size,Savings,Reduction %,Original Dimensions,Status
villas\camelia\AWB_4567WEB.jpg,478.83 KB,56.03 KB,422.80 KB,88.3%,1151x648,✅ Success
villas\camelia\6.-Terrace-ViewWEB.jpg,458.87 KB,55.79 KB,403.08 KB,87.8%,968x644,✅ Success
villas\camelia\4.-Detail-BedroomWEB.jpg,504.31 KB,47.67 KB,456.64 KB,90.5%,1074x715,✅ Success
villas\buddleja\toilet-KB-4WEB.jpg,479.74 KB,124.01 KB,355.73 KB,74.2%,639x959,✅ Success
villas\buddleja\jalan-kb-(1)web.jpg,561.07 KB,170.37 KB,390.71 KB,69.6%,900x600,✅ Success
villas\buddleja\AWB_4457-(1).WEB.jpg,509.81 KB,90.58 KB,419.23 KB,82.2%,1196x796,✅ Success
villas\buddleja\AWB_4451WEB.jpg,481.66 KB,67.84 KB,413.82 KB,85.9%,1274x848,✅ Success
villas\buddleja\AWB_4441-(1)WEB.jpg,418.59 KB,87.17 KB,331.42 KB,79.2%,1105x622,✅ Success
villas\buddleja\AWB_4430WEB.jpg,438.87 KB,80.31 KB,358.56 KB,81.7%,1149x764,✅ Success
villas\buddleja\6.-Bedroom-ViewWEB.jpg,418.55 KB,65.78 KB,352.77 KB,84.3%,1236x695,✅ Success
villas\calathea\toilet-KB-4WEB.jpg,479.74 KB,124.01 KB,355.73 KB,74.2%,639x959,✅ Success
villas\calathea\jalan-kb-(2).WEB.jpg,474.95 KB,205.17 KB,269.78 KB,56.8%,780x1170,✅ Success
villas\calathea\AWB_4522WEB.jpg,444.96 KB,161.99 KB,282.97 KB,63.6%,1636x1089,✅ Success
villas\calathea\AWB_4510WEB.jpg,440.46 KB,132.49 KB,307.97 KB,69.9%,1670x1111,✅ Success
villas\calathea\AWB_4505WEB.jpg,421.00 KB,118.58 KB,302.41 KB,71.8%,1693x1126,✅ Success
villas\calathea\AWB_4502WEB.jpg,426.74 KB,156.60 KB,270.14 KB,63.3%,1512x1006,✅ Success
villas\calathea\AWB_4500WEB.jpg,448.33 KB,136.51 KB,311.82 KB,69.6%,1693x1126,✅ Success
villas\calathea\AWB_4490WEB.jpg,493.15 KB,197.22 KB,295.93 KB,60.0%,1725x970,✅ Success
villas\azalea\toilet-KB-4WEB.jpg,479.74 KB,124.01 KB,355.73 KB,74.2%,639x959,✅ Success
villas\azalea\jalan-kb-(10)web.jpg,534.62 KB,161.56 KB,373.05 KB,69.8%,571x856,✅ Success
villas\azalea\AWB_4416.WEB.jpg,423.47 KB,59.45 KB,364.02 KB,86.0%,1210x805,✅ Success
villas\azalea\AWB_4405.WEB.jpg,419.23 KB,85.57 KB,333.66 KB,79.6%,1082x720,✅ Success
villas\azalea\AWB_4390WEB.jpg,491.74 KB,70.41 KB,421.33 KB,85.7%,1270x845,✅ Success
villas\azalea\AWB_4381WEB.jpg,473.70 KB,95.05 KB,378.64 KB,79.9%,1089x725,✅ Success
villas\azalea\4.-Detail-BedroomWEB.jpg,455.00 KB,64.88 KB,390.12 KB,85.7%,1198x797,✅ Success
villas\agaphantus\toilet-KB-4WEB.jpg,479.74 KB,124.01 KB,355.73 KB,74.2%,639x959,✅ Success
